香港,#genre#
天良綜合,http://206.119.163.196/群号587372902.php?id=1587
誠心電視,http://206.119.163.196/群号587372902.php?id=1590
美好購物1,http://206.119.163.196/群号587372902.php?id=1591
美好購物2,http://206.119.163.196/群号587372902.php?id=1592
大立電視,http://206.119.163.196/群号587372902.php?id=1593
信吉衛視,http://206.119.163.196/群号587372902.php?id=294
三立新聞,http://206.119.163.196/群号587372902.php?id=2392
三立新聞,http://206.119.163.196/群号587372902.php?id=2279
三立新聞,http://206.119.163.196/群号587372902.php?id=4
東森新聞,http://206.119.163.196/群号587372902.php?id=2393
東森新聞,http://206.119.163.196/群号587372902.php?id=2419
東森新聞,http://206.119.163.196/群号587372902.php?id=1016
中天新聞,http://206.119.163.196/群号587372902.php?id=2420
中天新聞,http://206.119.163.196/群号587372902.php?id=3
民視新聞,http://206.119.163.196/群号587372902.php?id=2395
民視新聞,http://206.119.163.196/群号587372902.php?id=2421
民視新聞,http://206.119.163.196/群号587372902.php?id=13
TVBS新聞,http://206.119.163.196/群号587372902.php?id=2396
TVBS新聞,http://206.119.163.196/群号587372902.php?id=2422
TVBS新聞,http://206.119.163.196/群号587372902.php?id=2
東森財經,http://206.119.163.196/群号587372902.php?id=2397
東森財經,http://206.119.163.196/群号587372902.php?id=2423
東森財經,http://206.119.163.196/群号587372902.php?id=12
華視新聞,http://206.119.163.196/群号587372902.php?id=2424
華視新聞,http://206.119.163.196/群号587372902.php?id=6
三立iNEWS,http://206.119.163.196/群号587372902.php?id=2425
三立iNEWS,http://206.119.163.196/群号587372902.php?id=8
台視新聞,http://206.119.163.196/群号587372902.php?id=2399
台視新聞,http://206.119.163.196/群号587372902.php?id=2426
台視新聞,http://206.119.163.196/群号587372902.php?id=1
中視新聞,http://206.119.163.196/群号587372902.php?id=2400
寰宇新聞,http://206.119.163.196/群号587372902.php?id=2401
寰宇新聞,http://206.119.163.196/群号587372902.php?id=304
年代新聞,http://206.119.163.196/群号587372902.php?id=1099
壹新聞,http://206.119.163.196/群号587372902.php?id=494
台視財經,http://206.119.163.196/群号587372902.php?id=300
三立国際,http://206.119.163.196/群号587372902.php?id=2285
非凡商業,http://206.119.163.196/群号587372902.php?id=187
FRANCE 24,http://206.119.163.196/群号587372902.php?id=1042
CBN News,http://206.119.163.196/群号587372902.php?id=499
半島國際新聞,http://206.119.163.196/群号587372902.php?id=1498
東森戲劇,http://206.119.163.196/群号587372902.php?id=321
八大戲劇,http://206.119.163.196/群号587372902.php?id=81
緯來戲劇,http://206.119.163.196/群号587372902.php?id=339
衛視電影,http://206.119.163.196/群号587372902.php?id=93
東森電影,http://206.119.163.196/群号587372902.php?id=350
緯來電影,http://206.119.163.196/群号587372902.php?id=96
HBO HD,http://206.119.163.196/群号587372902.php?id=332
東森洋片,http://206.119.163.196/群号587372902.php?id=1128
壹電影,http://206.119.163.196/群号587372902.php?id=2284
好萊塢電影,http://206.119.163.196/群号587372902.php?id=37
愛爾達影劇,http://206.119.163.196/群号587372902.php?id=500
FOX,http://206.119.163.196/群号587372902.php?id=384
EYE戲劇,http://206.119.163.196/群号587372902.php?id=191
三立戲劇,http://206.119.163.196/群号587372902.php?id=64
霹靂臺灣,http://206.119.163.196/群号587372902.php?id=1339
美亞電影,http://206.119.163.196/群号587372902.php?id=375
民視影劇,http://206.119.163.196/群号587372902.php?id=1023
HBOSignature,http://206.119.163.196/群号587372902.php?id=329
HBO Hits,http://206.119.163.196/群号587372902.php?id=330
影迷數位電影,http://206.119.163.196/群号587372902.php?id=497
龍華戲劇,http://206.119.163.196/群号587372902.php?id=365
龍翔時代,http://206.119.163.196/群号587372902.php?id=373
AXN臺灣,http://206.119.163.196/群号587372902.php?id=423
天映經典,http://206.119.163.196/群号587372902.php?id=2289
星衛電影,http://206.119.163.196/群号587372902.php?id=496
公視戲劇,http://206.119.163.196/群号587372902.php?id=69
AXN亞洲,http://206.119.163.196/群号587372902.php?id=1066
Trill恐怖電影,http://206.119.163.196/群号587372902.php?id=18
龍華電影,http://206.119.163.196/群号587372902.php?id=311
華納電影,http://206.119.163.196/群号587372902.php?id=83
金光布袋戲,http://206.119.163.196/群号587372902.php?id=1060
衛視西片,http://206.119.163.196/群号587372902.php?id=369
龍華洋片,http://206.119.163.196/群号587372902.php?id=341
緯來體育,http://206.119.163.196/群号587372902.php?id=118
Eleven Sport 1,http://206.119.163.196/群号587372902.php?id=1133
Eleven Sport 2,http://206.119.163.196/群号587372902.php?id=301
ELEVEN SPORTS PLUS,http://206.119.163.196/群号587372902.php?id=419
ELTA體育1,http://206.119.163.196/群号587372902.php?id=192
ELTA體育2,http://206.119.163.196/群号587372902.php?id=193
ELTA體育3,http://206.119.163.196/群号587372902.php?id=194
Z頻道,http://206.119.163.196/群号587372902.php?id=1130
博斯無限,http://206.119.163.196/群号587372902.php?id=381
博斯無限2,http://206.119.163.196/群号587372902.php?id=426
博斯運動1,http://206.119.163.196/群号587372902.php?id=379
博斯運動2,http://206.119.163.196/群号587372902.php?id=380
亞洲旅遊,http://206.119.163.196/群号587372902.php?id=2299
國家地理,http://206.119.163.196/群号587372902.php?id=302
探索頻道,http://206.119.163.196/群号587372902.php?id=1035
動物星球,http://206.119.163.196/群号587372902.php?id=367
民視旅遊,http://206.119.163.196/群号587372902.php?id=78
探索亞洲,http://206.119.163.196/群号587372902.php?id=306
探索科學,http://206.119.163.196/群号587372902.php?id=343
國家野生,http://206.119.163.196/群号587372902.php?id=1038
探索EVE,http://206.119.163.196/群号587372902.php?id=1036
美食星球,http://206.119.163.196/群号587372902.php?id=1360
EYE旅遊,http://206.119.163.196/群号587372902.php?id=1494
探索動力DMAX,http://206.119.163.196/群号587372902.php?id=335
國家人文,http://206.119.163.196/群号587372902.php?id=334
國家地理悠人,http://206.119.163.196/群号587372902.php?id=114
MOMO親子台,http://206.119.163.196/群号587372902.php?id=1149
東森幼幼,http://206.119.163.196/群号587372902.php?id=371
YOYO TV,http://206.119.163.196/群号587372902.php?id=293
CN卡通,http://206.119.163.196/群号587372902.php?id=107
靖洋卡通,http://206.119.163.196/群号587372902.php?id=348
靖天卡通,http://206.119.163.196/群号587372902.php?id=344
ELTV生活英語,http://206.119.163.196/群号587372902.php?id=323
Baby TV,http://206.119.163.196/群号587372902.php?id=1129
大愛一臺,http://206.119.163.196/群号587372902.php?id=11
影视,#genre#
八大精彩,http://206.119.163.196/群号587372902.php?id=1024
龍華日韓,http://206.119.163.196/群号587372902.php?id=382
東森戲劇,http://206.119.163.196/群号587372902.php?id=321
八大戲劇,http://206.119.163.196/群号587372902.php?id=81
緯來戲劇,http://206.119.163.196/群号587372902.php?id=339
衛視電影,http://206.119.163.196/群号587372902.php?id=93
東森電影,http://206.119.163.196/群号587372902.php?id=350
緯來電影,http://206.119.163.196/群号587372902.php?id=96
HBO HD,http://206.119.163.196/群号587372902.php?id=332
HBO HD,http://206.119.163.196/群号587372902.php?id=1663
東森洋片,http://206.119.163.196/群号587372902.php?id=1128
壹電影,http://206.119.163.196/群号587372902.php?id=2284
好萊塢電影,http://206.119.163.196/群号587372902.php?id=37
愛爾達影劇,http://206.119.163.196/群号587372902.php?id=500
FOX,http://206.119.163.196/群号587372902.php?id=384
EYE戲劇,http://206.119.163.196/群号587372902.php?id=191
三立戲劇,http://206.119.163.196/群号587372902.php?id=64
霹靂臺灣,http://206.119.163.196/群号587372902.php?id=1339
美亞電影,http://206.119.163.196/群号587372902.php?id=375
民視影劇,http://206.119.163.196/群号587372902.php?id=1023
HBOSignature,http://206.119.163.196/群号587372902.php?id=329
HBO Hits,http://206.119.163.196/群号587372902.php?id=330
影迷數位電影,http://206.119.163.196/群号587372902.php?id=497
龍華戲劇,http://206.119.163.196/群号587372902.php?id=365
龍翔時代,http://206.119.163.196/群号587372902.php?id=373
AXN臺灣,http://206.119.163.196/群号587372902.php?id=423
天映經典,http://206.119.163.196/群号587372902.php?id=2289
AMC,http://206.119.163.196/群号587372902.php?id=92
星衛電影,http://206.119.163.196/群号587372902.php?id=496
公視戲劇,http://206.119.163.196/群号587372902.php?id=69
AXN亞洲,http://206.119.163.196/群号587372902.php?id=1066
Trill恐怖電影,http://206.119.163.196/群号587372902.php?id=18
HBO Family,http://206.119.163.196/群号587372902.php?id=331
龍華電影,http://206.119.163.196/群号587372902.php?id=311
華納電影,http://206.119.163.196/群号587372902.php?id=83
金光布袋戲,http://206.119.163.196/群号587372902.php?id=1060
衛視西片,http://206.119.163.196/群号587372902.php?id=369
CHC高清電影,http://206.119.163.196/群号587372902.php?id=1345
CHC動作電影,http://206.119.163.196/群号587372902.php?id=1346
CHC家庭影院,http://206.119.163.196/群号587372902.php?id=1347
CBN每日影院,http://206.119.163.196/群号587372902.php?id=1348
SETONE,http://206.119.163.196/群号587372902.php?id=1349
GEM,http://206.119.163.196/群号587372902.php?id=1350
經典電影,http://206.119.163.196/群号587372902.php?id=2227
龍華洋片,http://206.119.163.196/群号587372902.php?id=341
衛視卡式臺,http://206.119.163.196/群号587372902.php?id=2366
新闻,#genre#
三立新聞,http://206.119.163.196/群号587372902.php?id=4
東森新聞,http://206.119.163.196/群号587372902.php?id=1016
中天新聞,http://206.119.163.196/群号587372902.php?id=3
民視新聞,http://206.119.163.196/群号587372902.php?id=13
TVBS新聞,http://206.119.163.196/群号587372902.php?id=2
東森財經,http://206.119.163.196/群号587372902.php?id=12
華視新聞,http://206.119.163.196/群号587372902.php?id=6
三立iNEWS,http://206.119.163.196/群号587372902.php?id=8
台視新聞,http://206.119.163.196/群号587372902.php?id=1
中視新聞,http://206.119.163.196/群号587372902.php?id=7
寰宇新聞,http://206.119.163.196/群号587372902.php?id=304
寰宇臺灣,http://206.119.163.196/群号587372902.php?id=87
年代新聞,http://206.119.163.196/群号587372902.php?id=1099
壹新聞,http://206.119.163.196/群号587372902.php?id=494
非凡新聞,http://206.119.163.196/群号587372902.php?id=314
台視財經,http://206.119.163.196/群号587372902.php?id=300
三立国際,http://206.119.163.196/群号587372902.php?id=2285
非凡商業,http://206.119.163.196/群号587372902.php?id=187
CBN News,http://206.119.163.196/群号587372902.php?id=499
THE WORLD,http://206.119.163.196/群号587372902.php?id=1013
RT UK News,http://206.119.163.196/群号587372902.php?id=1025
TRTWORLD,http://206.119.163.196/群号587372902.php?id=1022
Bloomberg Financial,http://206.119.163.196/群号587372902.php?id=1046
Al Jazeera,http://206.119.163.196/群号587372902.php?id=1144
Bloomberg Quicktake,http://206.119.163.196/群号587372902.php?id=370
運通財經,http://206.119.163.196/群号587372902.php?id=79
Euronews English,http://206.119.163.196/群号587372902.php?id=2342
半島國際新聞,http://206.119.163.196/群号587372902.php?id=1498
CGTN English,http://206.119.163.196/群号587372902.php?id=2362
CGTN Documentary,http://206.119.163.196/群号587372902.php?id=2363
CGTN Français,http://206.119.163.196/群号587372902.php?id=2364
CGTN Español,http://206.119.163.196/群号587372902.php?id=317
CGTN العربية,http://206.119.163.196/群号587372902.php?id=1004
NHK World,http://206.119.163.196/群号587372902.php?id=117
体育,#genre#
HKC體育1,http://206.119.163.196/群号587372902.php?id=401
HKC體育2,http://206.119.163.196/群号587372902.php?id=356
緯來體育,http://206.119.163.196/群号587372902.php?id=118
FOX Sport 1,http://206.119.163.196/群号587372902.php?id=1131
FOX Sport 2,http://206.119.163.196/群号587372902.php?id=1132
FOX Sport 3,http://206.119.163.196/群号587372902.php?id=376
Eleven Sport 1,http://206.119.163.196/群号587372902.php?id=1133
Eleven Sport 2,http://206.119.163.196/群号587372902.php?id=301
ELEVEN SPORTS PLUS,http://206.119.163.196/群号587372902.php?id=419
ELTA體育1,http://206.119.163.196/群号587372902.php?id=192
ELTA體育2,http://206.119.163.196/群号587372902.php?id=193
ELTA體育3,http://206.119.163.196/群号587372902.php?id=194
SPO TV,http://206.119.163.196/群号587372902.php?id=1143
ARENA 2,http://206.119.163.196/群号587372902.php?id=2427
ASSP5,http://206.119.163.196/群号587372902.php?id=1216
Z頻道,http://206.119.163.196/群号587372902.php?id=1130
博斯無限,http://206.119.163.196/群号587372902.php?id=381
博斯無限2,http://206.119.163.196/群号587372902.php?id=426
博斯網球,http://206.119.163.196/群号587372902.php?id=498
博斯高球1,http://206.119.163.196/群号587372902.php?id=377
博斯高球2,http://206.119.163.196/群号587372902.php?id=378
博斯魅力,http://206.119.163.196/群号587372902.php?id=175
博斯運動1,http://206.119.163.196/群号587372902.php?id=379
博斯運動2,http://206.119.163.196/群号587372902.php?id=380
TRACE Sport Stars,http://206.119.163.196/群号587372902.php?id=1037
智林體育,http://206.119.163.196/群号587372902.php?id=82
時尚運動X,http://206.119.163.196/群号587372902.php?id=71
歐洲體育,http://206.119.163.196/群号587372902.php?id=1342
BeIN Sport News,http://206.119.163.196/群号587372902.php?id=2402
BeIN Sport 1,http://206.119.163.196/群号587372902.php?id=2403
BeIN Sport 2,http://206.119.163.196/群号587372902.php?id=2404
BeIN Sport 3,http://206.119.163.196/群号587372902.php?id=2405
BeIN Sport 4,http://206.119.163.196/群号587372902.php?id=2406
BeIN Sport 5,http://206.119.163.196/群号587372902.php?id=2407
BeIN Sport 6,http://206.119.163.196/群号587372902.php?id=2408
BeIN Sport 7,http://206.119.163.196/群号587372902.php?id=2409
BeIN Sport 8,http://206.119.163.196/群号587372902.php?id=2410
BeIN Sport 9,http://206.119.163.196/群号587372902.php?id=2411
BeIN Sport 10,http://206.119.163.196/群号587372902.php?id=2412
BeIN Sport 11,http://206.119.163.196/群号587372902.php?id=2413
BeIN Sport 12,http://206.119.163.196/群号587372902.php?id=2414
Bein Sport 13,http://206.119.163.196/群号587372902.php?id=2415
Bein Sport 15,http://206.119.163.196/群号587372902.php?id=2416
Bein Sport,http://206.119.163.196/群号587372902.php?id=2417
Bein Sport 14,http://206.119.163.196/群号587372902.php?id=2418
魅力足球,http://206.119.163.196/群号587372902.php?id=464
J SPORTS 1,http://206.119.163.196/群号587372902.php?id=129
J SPORTS 3,http://206.119.163.196/群号587372902.php?id=131
J SPORTS 2,http://206.119.163.196/群号587372902.php?id=130
J SPORTS 4,http://206.119.163.196/群号587372902.php?id=132
Spotv,http://206.119.163.196/群号587372902.php?id=266
Spotv2,http://206.119.163.196/群号587372902.php?id=267
SBS Sports,http://206.119.163.196/群号587372902.php?id=487
Fox Business,http://206.119.163.196/群号587372902.php?id=1511
Mlb net,http://206.119.163.196/群号587372902.php?id=1523
Fight network,http://206.119.163.196/群号587372902.php?id=1527
Diy network,http://206.119.163.196/群号587372902.php?id=1528
NHL net,http://206.119.163.196/群号587372902.php?id=1534
NBC Golf,http://206.119.163.196/群号587372902.php?id=1539
Goltv,http://206.119.163.196/群号587372902.php?id=1542
TVG,http://206.119.163.196/群号587372902.php?id=1543
Game Show Network,http://206.119.163.196/群号587372902.php?id=1562
Atlanta,http://206.119.163.196/群号587372902.php?id=1055
CBS Sport,http://206.119.163.196/群号587372902.php?id=1364
ESPN 1,http://206.119.163.196/群号587372902.php?id=1182
ESPN 2,http://206.119.163.196/群号587372902.php?id=1183
NBC Sport,http://206.119.163.196/群号587372902.php?id=1184
NBA TV US,http://206.119.163.196/群号587372902.php?id=1185
Fox Sport 1,http://206.119.163.196/群号587372902.php?id=1186
Fox Sport 2,http://206.119.163.196/群号587372902.php?id=1187
NFL Network,http://206.119.163.196/群号587372902.php?id=1189
Golf,http://206.119.163.196/群号587372902.php?id=1190
WWE,http://206.119.163.196/群号587372902.php?id=1191
UFC PASS,http://206.119.163.196/群号587372902.php?id=1192
Bein Sports USA,http://206.119.163.196/群号587372902.php?id=1195
ESPN U,http://206.119.163.196/群号587372902.php?id=1196
WE TV,http://206.119.163.196/群号587372902.php?id=1229
TSN 3,http://206.119.163.196/群号587372902.php?id=1275
TSN 4,http://206.119.163.196/群号587372902.php?id=1276
TSN 5,http://206.119.163.196/群号587372902.php?id=1277
SportNet ON,http://206.119.163.196/群号587372902.php?id=1278
SportNet One,http://206.119.163.196/群号587372902.php?id=1279
SportNet World,http://206.119.163.196/群号587372902.php?id=1280
SportNet 360,http://206.119.163.196/群号587372902.php?id=1281
NBA CA,http://206.119.163.196/群号587372902.php?id=1282
TSN 2,http://206.119.163.196/群号587372902.php?id=1274
TSN 1,http://206.119.163.196/群号587372902.php?id=1273
E ent,http://206.119.163.196/群号587372902.php?id=1392
Freesports,http://206.119.163.196/群号587372902.php?id=1412
BT Sport ESPN,http://206.119.163.196/群号587372902.php?id=168
BT Sport 2,http://206.119.163.196/群号587372902.php?id=166
BT Sport 3,http://206.119.163.196/群号587372902.php?id=167
BT Sport 1,http://206.119.163.196/群号587372902.php?id=165
Sky Sport 2,http://206.119.163.196/群号587372902.php?id=171
Sky Sports 1,http://206.119.163.196/群号587372902.php?id=172
Sky Sports F1,http://206.119.163.196/群号587372902.php?id=182
Sky Sport 3,http://206.119.163.196/群号587372902.php?id=183
Sky Sport 4,http://206.119.163.196/群号587372902.php?id=417
Sky Sport 5,http://206.119.163.196/群号587372902.php?id=418
Sky sport uno,http://206.119.163.196/群号587372902.php?id=1597
Rai Sport,http://206.119.163.196/群号587372902.php?id=1613
Suria,http://206.119.163.196/群号587372902.php?id=434
Astro Sp1,http://206.119.163.196/群号587372902.php?id=444
Astro Sp2,http://206.119.163.196/群号587372902.php?id=445
Astro Sp3,http://206.119.163.196/群号587372902.php?id=446
Astro Sp4,http://206.119.163.196/群号587372902.php?id=447
ASTRO ARENA HD,http://206.119.163.196/群号587372902.php?id=1934
EUROSPORT HD,http://206.119.163.196/群号587372902.php?id=1942
WWE NETWORK,http://206.119.163.196/群号587372902.php?id=1943
GOLF CHANNEL HD,http://206.119.163.196/群号587372902.php?id=1944
Fox Sports 1 HD,http://206.119.163.196/群号587372902.php?id=2094
Fox Sports 1 HD,http://206.119.163.196/群号587372902.php?id=1738
Fox Sports 3 HD,http://206.119.163.196/群号587372902.php?id=2095
Fox Sports 3 HD,http://206.119.163.196/群号587372902.php?id=1739
Fox Sports 2 HD,http://206.119.163.196/群号587372902.php?id=2096
Fox Sports 2 HD,http://206.119.163.196/群号587372902.php?id=1740
BeIN Sport 1 ID,http://206.119.163.196/群号587372902.php?id=2097
BeIN Sport 1 ID,http://206.119.163.196/群号587372902.php?id=1741
BeIN Sport 2 ID,http://206.119.163.196/群号587372902.php?id=2098
BeIN Sport 2 ID,http://206.119.163.196/群号587372902.php?id=1742
Fight Sports,http://206.119.163.196/群号587372902.php?id=2147
Fight Sports,http://206.119.163.196/群号587372902.php?id=1791
NBA TV HD,http://206.119.163.196/群号587372902.php?id=2149
NBA TV HD,http://206.119.163.196/群号587372902.php?id=1793
ASSP1_HD,http://206.119.163.196/群号587372902.php?id=1070
ASSP2_HD,http://206.119.163.196/群号587372902.php?id=1071
ASSP3_HD,http://206.119.163.196/群号587372902.php?id=1072
ASSP4_HD,http://206.119.163.196/群号587372902.php?id=1074
纪实,#genre#
幸福空間居家,http://206.119.163.196/群号587372902.php?id=61
亞洲旅遊,http://206.119.163.196/群号587372902.php?id=2299
國家地理,http://206.119.163.196/群号587372902.php?id=302
探索頻道,http://206.119.163.196/群号587372902.php?id=1035
TLC,http://206.119.163.196/群号587372902.php?id=2275
TLC,http://206.119.163.196/群号587372902.php?id=1206
動物星球,http://206.119.163.196/群号587372902.php?id=367
民視旅遊,http://206.119.163.196/群号587372902.php?id=78
探索亞洲,http://206.119.163.196/群号587372902.php?id=306
探索科學,http://206.119.163.196/群号587372902.php?id=343
國家野生,http://206.119.163.196/群号587372902.php?id=1038
HGTV,http://206.119.163.196/群号587372902.php?id=1159
CI罪案偵查,http://206.119.163.196/群号587372902.php?id=2303
探索EVE,http://206.119.163.196/群号587372902.php?id=1036
History 2,http://206.119.163.196/群号587372902.php?id=1158
History,http://206.119.163.196/群号587372902.php?id=116
History,http://206.119.163.196/群号587372902.php?id=1204
BBC Lifestyle,http://206.119.163.196/群号587372902.php?id=424
美食星球,http://206.119.163.196/群号587372902.php?id=1360
EYE旅遊,http://206.119.163.196/群号587372902.php?id=1494
BBC EARTH,http://206.119.163.196/群号587372902.php?id=97
探索動力DMAX,http://206.119.163.196/群号587372902.php?id=335
國家人文,http://206.119.163.196/群号587372902.php?id=334
國家地理悠人,http://206.119.163.196/群号587372902.php?id=114
NASA TV,http://206.119.163.196/群号587372902.php?id=25
Earth Views,http://206.119.163.196/群号587372902.php?id=1017
NASA Live,http://206.119.163.196/群号587372902.php?id=196
Astronaut Spacewalk Earth,http://206.119.163.196/群号587372902.php?id=1026
法國時裝,http://206.119.163.196/群号587372902.php?id=2287
LiveABC,http://206.119.163.196/群号587372902.php?id=115
Food network 美,http://206.119.163.196/群号587372902.php?id=1526
Food Network Canada,http://206.119.163.196/群号587372902.php?id=1265
Food Network 英,http://206.119.163.196/群号587372902.php?id=1421
History FHD,http://206.119.163.196/群号587372902.php?id=1710
韩国,#genre#
OBS 경인TV,http://206.119.163.196/群号587372902.php?id=2347
KBS드라마1,http://206.119.163.196/群号587372902.php?id=2348
