
港台,#genre#
地理野生,http://zb.q8kk.com/a.php?id=gjdlyspd
HBOHD,http://zb.q8kk.com/a.php?id=hbohd
HBO强档巨献,http://zb.q8kk.com/a.php?id=hboqdjx
HBO原创巨献,http://zb.q8kk.com/a.php?id=hboycjx
FOX动作电影,http://zb.q8kk.com/a.php?id=foxdzdy
FOX优质电影,http://zb.q8kk.com/a.php?id=foxyzdy
FOX家庭影院,http://zb.q8kk.com/a.php?id=foxjtyy
星卫HD电影,http://zb.q8kk.com/a.php?id=xwhddy
美亚电影台HD,http://zb.q8kk.com/a.php?id=mydythd
龙华电影,http://zb.q8kk.com/a.php?id=longhdy
卫视电影台湾,http://zb.q8kk.com/a.php?id=wsdytw
凤凰电影,http://zb.q8kk.com/a.php?id=fenghuangdy
卫视洋片HD,http://zb.q8kk.com/a.php?id=wsyphd
天映电影,http://zb.q8kk.com/a.php?id=tydy
龙祥电影,http://zb.q8kk.com/a.php?id=lxdy
东森电影,http://zb.q8kk.com/a.php?id=dsdy
纬来电影,http://zb.q8kk.com/a.php?id=wldy
东森洋片,http://zb.q8kk.com/a.php?id=dsyp
龙华洋片,http://zb.q8kk.com/a.php?id=lhyp
靖天电影台,http://zb.q8kk.com/a.php?id=jtdyt
靖天映画,http://zb.q8kk.com/a.php?id=jtyh
TVBS,http://zb.q8kk.com/a.php?id=tvbs
TVBS欢乐HD,http://zb.q8kk.com/a.php?id=tvbshl
TVB8,http://zb.q8kk.com/a.php?id=tvb8
公视HD,http://zb.q8kk.com/a.php?id=gshd
中天亚洲,http://zb.q8kk.com/a.php?id=ztyzt
中视HD,http://zb.q8kk.com/a.php?id=zshd
东森戏剧,http://zb.q8kk.com/a.php?id=dsxj
东森财经,http://zb.q8kk.com/a.php?id=dscj
华视HD,http://zb.q8kk.com/a.php?id=hshd
中天娱乐,http://zb.q8kk.com/a.php?id=ztyl
星卫娱乐台,http://zb.q8kk.com/a.php?id=xwylt
八大综合台,http://zb.q8kk.com/a.php?id=bdzht
八大第一台,http://zb.q8kk.com/a.php?id=bddyt
八大娱乐台,http://zb.q8kk.com/a.php?id=bdylt
八大戏剧,http://zb.q8kk.com/a.php?id=bdxj
纬来日本,http://zb.q8kk.com/a.php?id=wlrb
纬来育乐,http://zb.q8kk.com/a.php?id=wlyl
纬来体育,http://zb.q8kk.com/a.php?id=wlty
三立台湾,http://zb.q8kk.com/a.php?id=sltw
三立都会,http://zb.q8kk.com/a.php?id=sldh
中天综合,http://zb.q8kk.com/a.php?id=ztzh
东森综合,http://zb.q8kk.com/a.php?id=dszh
壹电视综合,http://zb.q8kk.com/a.php?id=ydszh
韩国娱乐台,http://zb.q8kk.com/a.php?id=hgylt
EYETV旅游,http://zb.q8kk.com/a.php?id=eyetvly
卫视中文台,http://zb.q8kk.com/a.php?id=wszwt
民视,http://zb.q8kk.com/a.php?id=ms
纬来综合,http://zb.q8kk.com/a.php?id=wlzh
东森幼幼,http://zb.q8kk.com/a.php?id=dsyy
大爱二台,http://zb.q8kk.com/a.php?id=daet
中天新闻HD,http://zb.q8kk.com/a.php?id=ztxw
年代新闻HD,http://zb.q8kk.com/a.php?id=ndxw
东森新闻HD,http://zb.q8kk.com/a.php?id=dsxw
三立新闻HD,http://zb.q8kk.com/a.php?id=slxw
民视新闻,http://zb.q8kk.com/a.php?id=msxw
非凡新闻,http://zb.q8kk.com/a.php?id=ffxw
FXHD,http://zb.q8kk.com/a.php?id=fxhd
历史2台,http://zb.q8kk.com/a.php?id=ls2t               
LIFE时尚生活,http://zb.q8kk.com/a.php?id=lifesssh
UNIVERSAL,http://zb.q8kk.com/a.php?id=universal
CNN,http://zb.q8kk.com/a.php?id=cnn
FOX,http://zb.q8kk.com/a.php?id=fox
MTVLIVE,http://zb.q8kk.com/a.php?id=mtvlive
V音乐台,http://zb.q8kk.com/a.php?id=vyy
Animax,http://zb.q8kk.com/a.php?id=animax
动物星球,http://zb.q8kk.com/a.php?id=dwxq
SBS,http://zb.q8kk.com/a.php?id=sbs
KBS1,http://zb.q8kk.com/a.php?id=kbs1
KBS2,http://zb.q8kk.com/a.php?id=kbs2
KBSSPORT,http://zb.q8kk.com/a.php?id=kbssport
ELTA综合,http://zb.q8kk.com/a.php?id=eltazh
Foxsports,http://zb.q8kk.com/a.php?id=foxsports
日本映画专门,http://zb.q8kk.com/a.php?id=rbyhzm
富士电视台,http://zb.q8kk.com/a.php?id=fsdst
BS1,http://zb.q8kk.com/a.php?id=bs1
美国中文台,http://zb.q8kk.com/a.php?id=mgzwt
ESPN,http://zb.q8kk.com/a.php?id=espn
CNBC,http://zb.q8kk.com/a.php?id=cnbc
马来TV1,http://a.q8kk.com/g1.php?id=mltv1
马来TV2,http://a.q8kk.com/g1.php?id=mltv2
马来TV3,http://a.q8kk.com/g1.php?id=mltv3
马来西亚TV9,http://a.q8kk.com/g1.php?id=mltv9
FXHD,http://a.q8kk.com/g1.php?id=fxhd
TVB娱乐新闻台,http://token.tvb.com/stream/live/enews/hls/mobilehd_enews.smil






港台2,#genre#
探索，,http://23.27.117.154:8099/ms2/media/live/efe2ab4a-fb77-41cf-abdc-0134e6819a8b/playlist.m3u8?ot=MWY3YWFlYTY0YzMyOGZhMDJkZGMxZTQ4Nzc0OWIxYmY6NTg3ZTQ4OWEtN2Y1My00MDE0LTkwYjEtNDQwY2FlNTRhYmRhOmIwNjU1MTIwLTU0OGUtNDRjZC04NmYxLTliYzc3NDhhNGZjYToxNDkyMzE5OTc4NzA0
民视新闻,vjms://122.155.180.8:8500:3502/live/cid=454|vjms://58.215.41.17:8500:3502/live/cid=454|vjms://122.155.180.8:8500/live/cid=454|http://122.155.180.8:9021/live/454.m3u8|vjms://198.255.90.44:8500:3502/live/cid=454
年代新闻,vjms://122.155.180.8:8500:3502/live/cid=455|vjms://122.155.180.8:8500/live/cid=455|vjms://58.215.41.17:8500:3502/live/cid=455|http://122.155.180.8:9021/live/455.m3u8|vjms://198.255.90.44:8500:3502/live/cid=455
东森财经新闻,vjms://122.155.180.8:8500:3502/live/cid=456|vjms://58.215.41.17:8500:3502/live/cid=456|http://122.155.180.8:9021/live/456?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=456
台壹新闻,vjms://122.155.180.8:8500:3502/live/cid=137|vjms://58.215.41.17:8500:3502/live/cid=137|http://122.155.180.8:9021/live/137?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=137
东森新闻,vjms://122.155.180.8:8500:3502/live/cid=340|vjms://58.215.41.17:8500:3502/live/cid=340|vjms://122.155.180.8:8500/live/cid=340|http://122.155.180.8:9021/live/340?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=340
TVBS新闻,vjms://122.155.180.8:8500:3502/live/cid=348|vjms://122.155.180.8:8500/live/cid=348|vjms://58.215.41.17:8500:3502/live/cid=348|http://122.155.180.8:9021/live/348?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=348
三立新闻,vjms://122.155.180.8:8500:3502/live/cid=352|vjms://122.155.180.8:8500/live/cid=352|vjms://58.215.41.17:8500:3502/live/cid=352|http://122.155.180.8:9021/live/352?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=352
中天新闻,vjms://122.155.180.8:8500:3502/live/cid=407|vjms://122.155.180.8:8500/live/cid=407|vjms://58.215.41.17:8500:3502/live/cid=407|http://122.155.180.8:9021/live/407?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=407
非凡新闻,vjms://122.155.180.8:8500:3502/live/cid=443|vjms://122.155.180.8:8500/live/cid=443|vjms://58.215.41.17:8500:3502/live/cid=433|http://122.155.180.8:9021/live/433?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=433
亲子台,vjms://122.155.180.8:8500:3502/live/cid=2|vjms://58.215.41.17:8500:3502/live/cid=2|http://122.155.180.8:9021/live/2?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=2
纬来综合,vjms://122.155.180.8:8500:3502/live/cid=3|vjms://58.215.41.17:8500:3502/live/cid=3|http://122.155.180.8:9021/live/3?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=3
FOX3HD,vjms://122.155.180.8:8500:3502/live/cid=95|vjms://58.215.41.17:8500:3502/live/cid=95|http://122.155.180.8:9021/live/95?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=95
卫视电影台,vjms://122.155.180.8:8500:3502/live/cid=101|vjms://58.215.41.17:8500:3502/live/cid=101|http://122.155.180.8:9021/live/101?pid=0800270E38B3@5130FVO&begblock=0|vjms://122.155.180.8:8500/live/cid=101|vjms://58.215.41.17:8500:3502/live/cid=101|http://122.155.180.8:9021/live/101?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=101
纬来体育,vjms://122.155.180.8:8500:3502/live/cid=202|vjms://58.215.41.17:8500:3502/live/cid=202|vjms://122.155.180.8:8500/live/cid=202|http://122.155.180.8:9021/live/202?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=202
博斯高球,vjms://122.155.180.8:8500:3502/live/cid=265|vjms://122.155.180.8:8500/live/cid=265|vjms://58.215.41.17:8500:3502/live/cid=265|http://122.155.180.8:9021/live/265?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=265
纬来日本,vjms://122.155.180.8:8500:3502/live/cid=332|vjms://122.155.180.8:8500/live/cid=332|vjms://58.215.41.17:8500:3502/live/cid=332|http://122.155.180.8:9021/live/332?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=332
东森综合,vjms://122.155.180.8:8500:3502/live/cid=333|vjms://122.155.180.8:8500/live/cid=333|vjms://58.215.41.17:8500:3502/live/cid=333|http://122.155.180.8:9021/live/333?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=333
澳亚卫视,vjms://122.155.180.8:8500:3502/live/cid=337|vjms://122.155.180.8:8500/live/cid=337|vjms://58.215.41.17:8500:3502/live/cid=337|http://122.155.180.8:9021/live/337?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=337
东森电影,vjms://122.155.180.8:8500:3502/live/cid=338|vjms://122.155.180.8:8500/live/cid=338|vjms://58.215.41.17:8500:3502/live/cid=338|http://122.155.180.8:9021/live/338?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=338
JET综合,vjms://122.155.180.8:8500:3502/live/cid=339|vjms://122.155.180.8:8500/live/cid=339|vjms://58.215.41.17:8500:3502/live/cid=339|http://122.155.180.8:9021/live/339?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=339
中天综合,vjms://122.155.180.8:8500:3502/live/cid=341|vjms://122.155.180.8:8500/live/cid=341|vjms://58.215.41.17:8500:3502/live/cid=341|http://122.155.180.8:9021/live/341?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=341
东森洋片,vjms://122.155.180.8:8500:3502/live/cid=343|vjms://122.155.180.8:8500/live/cid=343|vjms://58.215.41.17:8500:3502/live/cid=343|http://122.155.180.8:9021/live/343?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=343
东森幼幼,vjms://122.155.180.8:8500:3502/live/cid=344|vjms://122.155.180.8:8500/live/cid=344|vjms://58.215.41.17:8500:3502/live/cid=344|http://122.155.180.8:9021/live/344?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=344
TVBs,vjms://122.155.180.8:8500:3502/live/cid=349|vjms://122.155.180.8:8500/live/cid=349|vjms://58.215.41.17:8500:3502/live/cid=349|http://122.155.180.8:9021/live/349?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=349
中天娱乐,vjms://122.155.180.8:8500:3502/live/cid=350|vjms://122.155.180.8:8500/live/cid=350|vjms://58.215.41.17:8500:3502/live/cid=350|http://122.155.180.8:9021/live/350?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=350
八大综合,vjms://122.155.180.8:8500:3502/live/cid=354|vjms://122.155.180.8:8500/live/cid=354|vjms://58.215.41.17:8500:3502/live/cid=354|http://122.155.180.8:9021/live/354?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=354
國興衛視,vjms://122.155.180.8:8500:3502/live/cid=424|vjms://58.215.41.17:8500:3502/live/cid=424|http://122.155.180.8:9021/live/424?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=424
东森戏剧,vjms://122.155.180.8:8500:3502/live/cid=425|vjms://122.155.180.8:8500/live/cid=425|vjms://58.215.41.17:8500:3502/live/cid=425|http://122.155.180.8:9021/live/425?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=425
东森超视,vjms://122.155.180.8:8500:3502/live/cid=426|vjms://122.155.180.8:8500/live/cid=426|vjms://58.215.41.17:8500:3502/live/cid=426http://122.155.180.8:9021/live/426?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=426
公视3,vjms://122.155.180.8:8500:3502/live/cid=436|vjms://122.155.180.8:8500/live/cid=436|vjms://58.215.41.17:8500:3502/live/cid=436|http://122.155.180.8:9021/live/436?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=436
三立台湾,vjms://122.155.180.8:8500:3502/live/cid=437|vjms://122.155.180.8:8500/live/cid=437|vjms://58.215.41.17:8500:3502/live/cid=437|http://122.155.180.8:9021/live/437?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=437
tvbs欢乐,vjms://122.155.180.8:8500:3502/live/cid=438|vjms://58.215.41.17:8500:3502/live/cid=438|http://122.155.180.8:9021/live/438?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=438
GTV八大第1,vjms://122.155.180.8:8500:3502/live/cid=441|vjms://58.215.41.17:8500:3502/live/cid=441|http://122.155.180.8:9021/live/441?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=441
纬来戏剧,vjms://122.155.180.8:8500:3502/live/cid=445|vjms://122.155.180.8:8500/live/cid=445|vjms://58.215.41.17:8500:3502/live/cid=445|http://122.155.180.8:9021/live/445?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=445
纬来电影,vjms://122.155.180.8:8500:3502/live/cid=446|vjms://122.155.180.8:8500/live/cid=446|vjms://58.215.41.17:8500:3502/live/cid=446|http://122.155.180.8:9021/live/446?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=446
民视,vjms://122.155.180.8:8500:3502/live/cid=450|vjms://122.155.180.8:8500/live/cid=450|vjms://58.215.41.17:8500:3502/live/cid=450|http://122.155.180.8:9021/live/450?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=450
華視HD,vjms://122.155.180.8:8500:3502/live/cid=451|vjms://58.215.41.17:8500:3502/live/cid=451|http://122.155.180.8:9021/live/451?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=451
中視HD,vjms://122.155.180.8:8500:3502/live/cid=452|vjms://58.215.41.17:8500:3502/live/cid=452|http://122.155.180.8:9021/live/452?pid=0800270E38B3@5130FVO&begblock=0|vjms://198.255.90.44:8500:3502/live/cid=452
