ğŸ‡­ğŸ‡°Test,#genre#
ç¾äºšç”µå½±,http://205.185.120.199:9527/huizhangqunzhuanyong.php?id=45
å«è§†ç”µå½±å°,http://205.185.120.199:9527/huizhangqunzhuanyong.php?id=44
J2,rtmp://v3948069e.live.126.net/live/tvbj2.flv
æ— çº¿æ–°é—»,http://v3948069e.live.126.net/live/hod900.flv
æ— çº¿è´¢ç»,http://v3948069e.live.126.net/live/scypfjyv66589621/7.flv
Viutv,http://v3948069e.live.126.net/live/ooadaaihygy854184.flv
ViuTVsix,http://v3948069e.live.126.net/live/lgeuxndz47905359/10.flv
ä¸œæ£®æ–°é—»,http://v3948069e.live.126.net/live/chljmwfc26030164/42.flv
TVBSæ–°é—»,http://v3948069e.live.126.net/live/eyisbshx78425035/46.flv
ä¸‰ç«‹inew-,http://v3948069e.live.126.net/live/syiygqgw23248264/47.flv
ä¸‰ç«‹LIVE,http://v3948069e.live.126.net/live/tizinjzv54935020/48.flv
ä¸­å¤©æ–°é—»,http://v3948069e.live.126.net/live/myewtdtq55241913/40.flv
AXNç”µå½±,http://v3948069e.live.126.net/live/lgdhdhqt88784905/85.flv
ğŸ‡¹ğŸ‡¼Test,#genre#
ä¸­å¤©æ–°é—»,p8p://fccs.mgiptv.top:19706/6108751d000ce82f133327c1075ab46a.ts
æ°‘è¦–,http://sytv.xtvants.fun/mytv.php?id=ms&token=free&user=free 
æ°‘è¦–ç¬¬ä¸€å°,http://sytv.xtvants.fun/mytv.php?id=msdy&token=free&user=free 
æ°‘è¦–å°ç£å°,http://sytv.xtvants.fun/mytv.php?id=mstw&token=free&user=free 
æ°‘è¦–æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=msxw&token=free&user=free 
æ°‘è¦–å½±åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=msyj&token=free&user=free 
æ°‘è¦–ç¶œè—å°,http://sytv.xtvants.fun/mytv.php?id=mszy&token=free&user=free 
æ°‘è¦–æ—…éŠå°,http://sytv.xtvants.fun/mytv.php?id=msly&token=free&user=free 
å°è¦–,http://sytv.xtvants.fun/mytv.php?id=ts&token=free&user=free 
å°è¦–æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=tsxw&token=free&user=free 
å°è¦–è²¡ç¶“å°,http://sytv.xtvants.fun/mytv.php?id=tscj&token=free&user=free 
å°è¦–ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=tszh&token=free&user=free 
ä¸­è¦–,http://sytv.xtvants.fun/mytv.php?id=zs&token=free&user=free 
ä¸­è¦–æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=zsxw&token=free&user=free 
ä¸­è¦–ç¶“å…¸å°,http://sytv.xtvants.fun/mytv.php?id=zsjd&token=free&user=free 
ä¸­è¦–èé‡‡å°,http://sytv.xtvants.fun/mytv.php?id=zsjc&token=free&user=free 
è¯è¦–,http://sytv.xtvants.fun/mytv.php?id=hs&token=free&user=free 
è¯è¦–æ•™è‚²é«”è‚²æ–‡åŒ–å°,http://sytv.xtvants.fun/mytv.php?id=hsjy&token=free&user=free 
è¯è¦–æ–°èè³‡è¨Šå°,http://sytv.xtvants.fun/mytv.php?id=hsxw&token=free&user=free 
å…¬è¦–,http://sytv.xtvants.fun/mytv.php?id=gs&token=free&user=free 
å…¬è¦–å°èªå°,http://sytv.xtvants.fun/mytv.php?id=gs2&token=free&user=free 
å…¬è¦–3å°,http://sytv.xtvants.fun/mytv.php?id=gs3&token=free&user=free 
å…¬è¦–æˆ²åŠ‡,http://sytv.xtvants.fun/mytv.php?id=gsxj&token=free&user=free 
å®¢å®¶é›»è¦–å°,http://sytv.xtvants.fun/mytv.php?id=kjds&token=free&user=free 
æ±æ£®æ–°è,http://sytv.xtvants.fun/mytv.php?id=dsxw&token=free&user=free 
æ±æ£®è²¡ç¶“æ–°è,http://sytv.xtvants.fun/mytv.php?id=dscj&token=free&user=free 
æ±æ£®å¹¼å¹¼,http://sytv.xtvants.fun/mytv.php?id=dsyy&token=free&user=free 
æ±æ£®ç¶œåˆ,http://sytv.xtvants.fun/mytv.php?id=dszh&token=free&user=free 
æ±æ£®æˆ²åŠ‡,http://sytv.xtvants.fun/mytv.php?id=dsxj&token=free&user=free 
æ±æ£®è¶…è¦–,http://sytv.xtvants.fun/mytv.php?id=dscs&token=free&user=free 
æ±æ£®æ´‹ç‰‡,http://sytv.xtvants.fun/mytv.php?id=dsyp&token=free&user=free 
æ±æ£®é›»å½±,http://sytv.xtvants.fun/mytv.php?id=dsdy&token=free&user=free 
ä¸­å¤©æ–°è,http://sytv.xtvants.fun/mytv.php?id=ztxw&token=free&user=free 
ä¸­å¤©ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=ztzh&token=free&user=free 
ä¸­å¤©å¨›æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=ztyl&token=free&user=free 
ä¸­å¤©äºæ´²å°,http://sytv.xtvants.fun/mytv.php?id=ztyz&token=free&user=free 
ä¸‰ç«‹å°ç£å°,http://sytv.xtvants.fun/mytv.php?id=sltw&token=free&user=free 
ä¸‰ç«‹éƒ½æœƒå°,http://sytv.xtvants.fun/mytv.php?id=sldh&token=free&user=free 
ä¸‰ç«‹æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=slxw&token=free&user=free 
ä¸‰ç«‹è²¡ç¶“å°,http://sytv.xtvants.fun/mytv.php?id=slcj&token=free&user=free 
ä¸‰ç«‹ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=slzh&token=free&user=free 
ä¸‰ç«‹æˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=slxj&token=free&user=free 
MTVç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=mtv&token=free&user=free 
TVBSæ–°èå°,http://sytv.xtvants.fun/mytv.php?id=tvbsxw&token=free&user=free 
TVBSæ­¡æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=tvbshl&token=free&user=free 
TVBS,http://sytv.xtvants.fun/mytv.php?id=tvbs&token=free&user=free 
TVBSç²¾é‡‡å°,http://sytv.xtvants.fun/mytv.php?id=tvbsjc&token=free&user=free 
å¹´ä»£æ–°è,http://sytv.xtvants.fun/mytv.php?id=ndxw&token=free&user=free 
MUCH TV,http://sytv.xtvants.fun/mytv.php?id=much&token=free&user=free 
JETç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=jet&token=free&user=free 
æ±é¢¨è¡›è¦–,http://sytv.xtvants.fun/mytv.php?id=dfws&token=free&user=free 
åœ‹èˆˆè¡›è¦–,http://sytv.xtvants.fun/mytv.php?id=gxws&token=free&user=free 
å£¹æ–°è,http://sytv.xtvants.fun/mytv.php?id=yxw&token=free&user=free 
å£¹é›»å½±,http://sytv.xtvants.fun/mytv.php?id=ydy&token=free&user=free 
éå‡¡æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=ffxw&token=free&user=free 
éå‡¡å•†æ¥­å°,http://sytv.xtvants.fun/mytv.php?id=ffsy&token=free&user=free 
å¯°å®‡æ–°èå°,http://sytv.xtvants.fun/mytv.php?id=hyxw&token=free&user=free
å¯°å®‡æ–°èå°ç£å°,http://sytv.xtvants.fun/mytv.php?id=hyxw2&token=free&user=free 
å¯°å®‡ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=hyzh&token=free&user=free 
äºæ´²æ—…éŠå°,http://sytv.xtvants.fun/mytv.php?id=yzly&token=free&user=free 
ç¾é£Ÿæ˜Ÿçƒ,http://sytv.xtvants.fun/mytv.php?id=msxq&token=free&user=free 
å¯¶å¯¶ä¸–ç•Œ,http://sytv.xtvants.fun/mytv.php?id=bbsj&token=free&user=free 
Medici-Arts,http://sytv.xtvants.fun/mytv.php?id=mdqys&token=free&user=free 
åšæ–¯é«˜çƒ,http://sytv.xtvants.fun/mytv.php?id=bsgq&token=free&user=free 
åšæ–¯é«˜çƒII,http://sytv.xtvants.fun/mytv.php?id=bsgq2&token=free&user=free 
åšæ–¯ç¶²çƒ,http://sytv.xtvants.fun/mytv.php?id=bswq&token=free&user=free 
åšæ–¯é‹å‹•ä¸€å°,http://sytv.xtvants.fun/mytv.php?id=bsyd&token=free&user=free 
åšæ–¯é­…åŠ›,http://sytv.xtvants.fun/mytv.php?id=bsml&token=free&user=free 
åšæ–¯é‹å‹•äºŒå°,http://sytv.xtvants.fun/mytv.php?id=bsyd2&token=free&user=free 
åšæ–¯ç„¡é™,http://sytv.xtvants.fun/mytv.php?id=bswx&token=free&user=free 
åšæ–¯ç„¡é™äºŒå°,http://sytv.xtvants.fun/mytv.php?id=bswx2&token=free&user=free 
é¾è¯æˆ²åŠ‡,http://sytv.xtvants.fun/mytv.php?id=lhxj&token=free&user=free 
é¾è¯å¶åƒ,http://sytv.xtvants.fun/mytv.php?id=lhox&token=free&user=free 
é¾è¯é›»å½±,http://sytv.xtvants.fun/mytv.php?id=lhdy&token=free&user=free 
é¾è¯æ´‹ç‰‡,http://sytv.xtvants.fun/mytv.php?id=lhyp&token=free&user=free 
é¾è¯ç¶“å…¸,http://sytv.xtvants.fun/mytv.php?id=lhjd&token=free&user=free 
é¾è¯å½±åŠ‡,http://sytv.xtvants.fun/mytv.php?id=lhrh&token=free&user=free 
é¾è¯å‹•ç•«,http://sytv.xtvants.fun/mytv.php?id=lhkt&token=free&user=free 
ç·¯ä¾†ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=wlzh&token=free&user=free 
ç·¯ä¾†æˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=wlxj&token=free&user=free 
ç·¯ä¾†æ—¥æœ¬å°,http://sytv.xtvants.fun/mytv.php?id=wlrb&token=free&user=free 
ç·¯ä¾†é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=wldy&token=free&user=free 
ç·¯ä¾†é«”è‚²å°,http://sytv.xtvants.fun/mytv.php?id=wlty&token=free&user=free 
ç·¯ä¾†è‚²æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=wlyl&token=free&user=free 
å…«å¤§ç¬¬1å°,http://sytv.xtvants.fun/mytv.php?id=bddy&token=free&user=free 
å…«å¤§ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=bdzh&token=free&user=free 
å…«å¤§æˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=bdxj&token=free&user=free 
å…«å¤§å¨›æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=bdyl&token=free&user=free 
å…«å¤§ç²¾å½©å°,http://sytv.xtvants.fun/mytv.php?id=bdjc&token=free&user=free 
æ„›çˆ¾é”é«”è‚²1å°,http://sytv.xtvants.fun/mytv.php?id=aedty&token=free&user=free 
æ„›çˆ¾é”é«”è‚²2å°,http://sytv.xtvants.fun/mytv.php?id=aedty2&token=free&user=free 
æ„›çˆ¾é”é«”è‚²3å°,http://sytv.xtvants.fun/mytv.php?id=aedty3&token=free&user=free 
æ„›çˆ¾é”å½±åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=aedyj&token=free&user=free 
æ„›çˆ¾é”ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=aedzh&token=free&user=free 
æ„›çˆ¾é”å¨›æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=aedyl&token=free&user=free 
TRACE Sport Stars,http://sytv.xtvants.fun/mytv.php?id=traces&token=free&user=free 
æ™ºæ—é«”è‚²å°,http://sytv.xtvants.fun/mytv.php?id=zlty&token=free&user=free 
éŸ“åœ‹å¨›æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=hgyl&token=free&user=free 
é–æ´‹å¡é€šå°,http://sytv.xtvants.fun/mytv.php?id=jykt&token=free&user=free 
é–å¤©å¡é€šå°,http://sytv.xtvants.fun/mytv.php?id=jtkt&token=free&user=free 
é–å¤©è³‡è¨Šå°,http://sytv.xtvants.fun/mytv.php?id=jtzx&token=free&user=free 
é–å¤©ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=jtzh&token=free&user=free 
é–å¤©è‚²æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=jtyl&token=free&user=free 
é–å¤©æˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=jtxj&token=free&user=free 
é–æ´‹æˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=jyxj&token=free&user=free 
é–å¤©æ˜ ç•«,http://sytv.xtvants.fun/mytv.php?id=jtyh&token=free&user=free 
é–å¤©é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=jtdy&token=free&user=free 
é–å¤©åœ‹éš›å°,http://sytv.xtvants.fun/mytv.php?id=jtgj&token=free&user=free 
é–å¤©æ—¥æœ¬å°,http://sytv.xtvants.fun/mytv.php?id=jtrb&token=free&user=free 
é–å¤©æ­¡æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=jthl&token=free&user=free 
MOMOç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=mmzh&token=free&user=free 
MOMOè¦ªå­å°,http://sytv.xtvants.fun/mytv.php?id=mmqz&token=free&user=free
i-Funå‹•æ¼«å°,http://sytv.xtvants.fun/mytv.php?id=afdm&token=free&user=free 
é«˜é»ç¶œåˆå°,http://sytv.xtvants.fun/mytv.php?id=gdzh&token=free&user=free 
é«˜é»è‚²æ¨‚å°,http://sytv.xtvants.fun/mytv.php?id=gdyl&token=free&user=free 
é‡‡æ˜Œå½±åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=ccyj&token=free&user=free 
å½±è¿·æ•¸ä½é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=ymswdy&token=free&user=free 
CATCHPLAYé›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=catchplay&token=free&user=free 
å¥½èŠå¡¢é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=hlwdy&token=free&user=free 
EYE TVæˆ²åŠ‡å°,http://sytv.xtvants.fun/mytv.php?id=eyexj&token=free&user=free 
EYE TVæ—…éŠå°,http://sytv.xtvants.fun/mytv.php?id=eyely&token=free&user=free 
éœ¹é‚å°ç£å°,http://sytv.xtvants.fun/mytv.php?id=pltw&token=free&user=free 
Zé »é“,http://sytv.xtvants.fun/mytv.php?id=zpd&token=free&user=free 
è¡›è¦–é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=wsdy&token=free&user=free 
é¾ç¥¥é›»å½±å°,http://sytv.xtvants.fun/mytv.php?id=lxsd&token=free&user=free
å£¹æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twyxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ä¸­å¤©æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twztxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
å¯°å®‡æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twhyxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
å¹´ä»£æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twndxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ä¸œæ£®æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ä¸‰ç«‹æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twslxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
éå‡¡æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twffxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ä¸­è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twzsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
å°è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
åè§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twhsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
æ°‘è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
TVBSæ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbsxw&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
TVBS HD,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbs&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ä¸œæ£®ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsdy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
é¾™ç¥¥ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlxdy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
å«è§†ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwsdy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
ç¾äºšç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmydy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
é¾™åç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlhdy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
çº¬æ¥ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwldy&tonken=32d1adfdffa0760e971f8640afc08&t=1627981348&ip=172.70.147.134&u=805102200
TVBS HD,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbs
TVBSæ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbsxw
ä¸­å¤©æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twztxw
ä¸­è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twcsxw
ä¸œæ£®æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsxw
å¹´ä»£æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twndxw
éå‡¡æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twffxw
ä¸‰ç«‹æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twslxw
å°è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtsxw
æ°‘è§†æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmsxw
å¯°å®‡æ–°é—»,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twhyxw
å«è§†ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwsdy
ç¾äºšç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmydy
ä¸œæ£®ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsdy
é¾™åç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlhdy
é¾™åç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlhdy
é¾ç¥¥ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlxdy
é–å¤©ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twjtdy
çº¬æ¥ç”µå½±,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwldy
çº¬æ¥ä½“è‚²,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwlty
ğŸ‡¹ğŸ‡¼å°æ¹¾,#genre#
ä¸œæ£®æ–°é—»,http://v3948069e.live.126.net/live/chljmwfc26030164/42.flv
TVBSæ–°é—»,http://v3948069e.live.126.net/live/eyisbshx78425035/46.flv
ä¸‰ç«‹inew-,http://v3948069e.live.126.net/live/syiygqgw23248264/47.flv
ä¸‰ç«‹LIVE,http://v3948069e.live.126.net/live/tizinjzv54935020/48.flv
ä¸­å¤©æ–°é—»,http://v3948069e.live.126.net/live/myewtdtq55241913/40.flv
AXNç”µå½±,http://v3948069e.live.126.net/live/lgdhdhqt88784905/85.flv
å«è§†ä¸­æ–‡,http://50.7.61.148:30080/Entry/starchinese
TVBSç»¼åˆ,http://50.7.61.148:30080/Entry/tvbs
TVBSæ–°é—»,http://50.7.61.148:30080/Entry/tvbsnews
å°è§†,http://50.7.61.148:30080/Entry/ttv
ä¸­è§†,http://50.7.61.148:30080/Entry/ctv
æ°‘è§†æ–°é—»,http://50.7.61.148:30080/Entry/ftvnews
éå‡¡å•†ä¸š HD,http://50.7.61.147:30080/Entry/ubnbus
TLC,http://50.7.61.147:30080/Entry/tlc
JETç»¼åˆ,http://50.7.61.147:30080/Entry/jet
æ°‘è§† HD,http://50.7.61.147:30080/Entry/ftv
åè§†CTS HD,http://50.7.61.147:30080/Entry/cts
å£¹æ–°é—» HD,http://50.7.61.147:30080/Entry/etv
SETä¸‰ç«‹å°æ¹¾,http://50.7.61.148:30080/Entry/settw-
AXN,http://50.7.61.148:30080/Entry/axn
HBO,http://50.7.61.148:30080/Entry/hbo
ä¸‰ç«‹å°ç£,https://setlive-lh.akamaihd.net/i/settaiwan_1@301196/index_1080_av-b.m3u8?sd=10&rebase=on
ä¸‰ç«‹éƒ½æœƒ,https://setlive-lh.akamaihd.net/i/setmetro_1@132201/index_1080_av-b.m3u8?sd=10&rebase=on
æœ‰çº¿ SPORTS 1,rtmp://59.124.75.138/sat/hk011
æœ‰çº¿18å°,rtmp://59.124.75.138/sat/hk042
æ°‘è§†,tmp://59.124.75.138/sat/tv051#rtmp://161.202.204.248/sat/tv051
å°è§†,rtmp://59.124.75.138/sat/tv071
ä¸­è§†,rtmp://59.124.75.138/sat/tv091
è¯è§†,rtmp://59.124.75.138/sat/tv111
TVBSÂ·æ¬¢ä¹å°,rtmp://59.124.75.138/sat/tv421
çº¬æ¥æ—¥æœ¬,rtmp://59.124.75.138/sat/tv521
TVBSÂ·æ–°é—»å°,rtmp://59.124.75.138/sat/tv551
ä¸œæ£®è´¢ç»æ–°é—»,rtmp://59.124.75.138/sat/tv571
çº¬æ¥è‚²ä¹,rtmp://59.124.75.138/sat/tv701
çº¬æ¥ä½“è‚²,rtmp://59.124.75.138/sat/tv721
ELEVEN1ä½“è‚²,rtmp://59.124.75.138/sat/tv731
ELEVEN2ä½“è‚²,rtmp://59.124.75.138/sat/tv741
MoMoç»¼åˆå°,rtmp://59.124.75.138/sat/tv761
ä¸œæ£®è¶…è§†,rtmp://59.124.75.138/sat/tv421
çˆ±å°”è¾¾ä½“è‚²â… ,rtmp://59.124.75.138/sat/md011
åšæ–¯è¿åŠ¨1,rtmp://59.124.75.138/sat/md021
åšæ–¯ç½‘çƒ,rtmp://59.124.75.138/sat/md031
ELEVEN2ä½“è‚²,rtmp://59.124.75.138/sat/md041
çˆ±å°”è¾¾ä½“è‚²3rtmp://59.124.75.138/sat/md051
æ—¥æœ¬MLB,rtmp://59.124.75.138/sat/jp071
CBS2 720,rtmp://59.124.75.138/sat/us011
CBS2 480,rtmp://59.124.75.138/sat/us012
FS1 480,rtmp://59.124.75.138/sat/us031
FS1 352,rtmp://59.124.75.138/sat/us032
å¤§çˆ±1å°,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
å¤§æ„›1å°HD,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
å¤§çˆ±2å°,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
å¤§æ„›2å°HD,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
å¤§çˆ±2å°,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
å¤§æ„›æµ·å¤–HD,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
å¤§çˆ±æµ·å¤–,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
ğŸ‡¹ğŸ‡¼sytv,#genre#
æ°‘è§†,http://v3948069e.live.126.net/live/nteimwyu30134860/28.flv
æ°‘è¦–ç¬¬ä¸€å°,http://v3948069e.live.126.net/live/epreliwi80996113/29.flv
æ°‘è¦–å°æ¹¾å°,http://v3948069e.live.126.net/live/htdndniz25866884/30.flv
æ°‘è¦–ç¶œè—,http://v3948069e.live.126.net/live/lsvtdgwt69296670/31.flv
æ°‘è¦–æ—…æ¸¸,http://v3948069e.live.126.net/live/dyjmdzws81670834/32.flv
æ°‘è§†æ–°é—»å°,http://v3948069e.live.126.net/live/cmcfizof46736198/36.flv
ä¸­è§†æ–°é—»å°,http://v3948069e.live.126.net/live/dscspbkh98253248/37.flv
å°è§†æ–°é—»,http://v3948069e.live.126.net/live/ugdbeaya63838689/38.flv
å¯°å®‡æ–°é—»,http://v3948069e.live.126.net/live/paevmpzc60020136/39.flv
ä¸­å¤©æ–°è,http://v3948069e.live.126.net/live/myewtdtq55241913/40.flv
å¹´ä»£æ–°é—»,http://v3948069e.live.126.net/live/tdhzoveg27028949/41.flv
